ID,x,y,Au,Pd,Pt,Rh,Ru,Resistance
192,13500,4500,0.302030203020302,0.27042704270427037,0.1448144814481448,0.1448144814481448,0.1379137913791379,0.88594343
193,18000,4500,0.3239,0.2786,0.1354,0.1275,0.1346,0.88436455
194,22500,4500,0.3272,0.2938,0.132,0.1157,0.1313,0.8822782
195,27000,4500,0.34450000000000003,0.2989,0.1186,0.1042,0.1338,0.87500573
196,31500,4500,0.35529999999999995,0.3193,0.1046,0.09309999999999999,0.12769999999999998,0.8711921266666667
197,36000,4500,0.36313631363136323,0.32413241324132414,0.10071007100710073,0.08770877087708773,0.12431243124312433,0.8734511433333334
198,40500,4500,0.3771999999999999,0.3292999999999999,0.0921,0.08159999999999999,0.11979999999999999,0.8744369133333334
199,45000,4500,0.3883388338833883,0.34093409340934094,0.08120812081208119,0.0711071107110711,0.1184118411841184,0.8788507066666666
200,-45000,9000,0.11518848115188482,0.13708629137086292,0.25807419258074193,0.36866313368663134,0.12098790120987903,0.9135107533333334
201,-40500,9000,0.1241875812418758,0.1414858514148585,0.2530746925307469,0.34456554344565543,0.1366863313668633,0.9029752833333332
202,-36000,9000,0.1365863413658634,0.14378562143785623,0.2515748425157484,0.3296670332966703,0.13838616138386162,0.8975766766666666
203,-31500,9000,0.1475,0.159,0.2452,0.3094,0.1389,0.89618697
204,-27000,9000,0.16471647164716471,0.16721672167216722,0.24042404240424042,0.28372837283728375,0.14391439143914392,0.89529963
205,-22500,9000,0.1754,0.1827,0.2351,0.2663,0.1405,0.89245725
206,-18000,9000,0.1838,0.196,0.2274,0.2491,0.1437,0.8899301000000001
207,-13500,9000,0.20232023202320235,0.20682068206820683,0.22202220222022204,0.22652265226522653,0.1423142314231423,0.88887025
208,-9000,9000,0.22002200220022,0.2148214821482148,0.21312131213121308,0.20792079207920788,0.1441144114411441,0.8895970900000001
209,-4500,9000,0.23289999999999997,0.22779999999999997,0.1994,0.1951,0.14479999999999998,0.8868613833333333
210,0,9000,0.2477,0.2408,0.1934,0.1705,0.1476,0.8852769033333333
211,4500,9000,0.273972602739726,0.2585741425857414,0.1848815118488151,0.154984501549845,0.1275872412758724,0.8811125333333333
212,9000,9000,0.2848284828482848,0.2672267226722672,0.1658165816581658,0.1417141714171417,0.1404140414041404,0.8792142633333333
213,13500,9000,0.2917,0.2852,0.158,0.132,0.1331,0.8775900533333334
214,18000,9000,0.3077692230776923,0.29017098290170984,0.15118488151184883,0.11798820117988203,0.13288671132886712,0.8750556433333333
215,22500,9000,0.3186681331866813,0.30116988301169884,0.1456854314568543,0.1092890710928907,0.1251874812518748,0.87122159
216,27000,9000,0.334,0.3138,0.1285,0.0985,0.1252,0.8643220466666667
217,31500,9000,0.34619999999999995,0.325,0.1204,0.09609999999999999,0.11230000000000001,0.86001582
218,36000,9000,0.35969999999999996,0.34049999999999997,0.1107,0.08070000000000001,0.1084,0.8609046033333333
219,40500,9000,0.3648635136486351,0.34496550344965504,0.09909009099090091,0.0755924407559244,0.11548845115488451,0.8624042866666667
220,45000,9000,0.3806619338066194,0.35366463353664634,0.09359064093590641,0.06499350064993502,0.10708929107089293,0.8741236766666667
221,-45000,13500,0.11651165116511653,0.13591359135913592,0.27832783278327833,0.3441344134413441,0.12511251125112513,0.91784335
222,-40500,13500,0.1229,0.142,0.27449999999999997,0.33409999999999995,0.1265,0.90417298
